城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2785900,0.6654979027463882,1074000,0.6684404611865752,0,0,800000
台中,193100,0.04612787430285637,114600,0.07132521122158428,0,0,120000
桃園,1010999,0.2415082071067503,381410,0.23738349748712442,152202,0,160000
新竹,101190,0.024172343866939595,12690,0.007898053493908416,0,0,0
高雄,95000,0.022693671977065535,24025,0.014952776610807699,9350,0,0
加總,4186189,1.0,1606725,1.0,161552,0,1080000
