城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2166000,0.6300834293294236,0,0.0,0,0,0
台中,226800,0.06597549481621112,0,0.0,0,0,0
桃園,781100,0.22721983686482586,0,0.0,188200,0,0
新竹,237950,0.0692189990807647,0,0.0,0,0,0
高雄,25790,0.007502239908774624,3760,1.0,0,0,0
加總,3437640,1.0,3760,1.0,188200,0,0
