城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2187200,0.6314744026515458,0,0.0,0,0,0
台中,231600,0.06686607153168343,0,0.0,0,0,0
桃園,781100,0.2255141989352242,0,0.0,188200,0,0
新竹,237950,0.06869940294025938,0,0.0,0,0,0
高雄,25790,0.007445923941287201,3760,1.0,0,0,0
加總,3463640,1.0,3760,1.0,188200,0,0
